Layer,Embedding CNN,MLP with CLS,MLP with mean embed,CLS RR1e-10,Mean Embedding RR1e-10,CLS RR1e-08,Mean Embedding RR1e-08,CLS RR1e-05,Mean Embedding RR1e-05,CLS Ridge Regression,Mean Embedding Ridge Regression,CLS RR0.1,Mean Embedding RR0.1
17,0.524330387616041,0.46662817645769367,0.48762415749067,0.20728685975380368,0.2135976331340549,0.20728685975380368,0.2135976331340549,0.20728685975380368,0.2135976331340549,0.20728685975380368,0.2135976331340549,0.20728709599181516,0.21359788862012408
18,0.5159656434918248,0.4488688849241521,0.4840481761380387,0.19467691760917805,0.20252664475566817,0.19467691760917805,0.20252664475566817,0.19467691760917805,0.20252664475566817,0.19467691760917805,0.20252664475566817,0.1946770470695003,0.2025267549696509
19,0.5176962303178999,0.4587448225663544,0.48244424210565734,0.19283726174924143,0.19787265398259146,0.19283726174924143,0.19787265398259146,0.19283726174924143,0.19787265398259146,0.19283726174924143,0.19787265398259146,0.19283735999189744,0.19787299961324345
20,0.5155006060015207,0.46581216177989243,0.47500106810265386,0.20355297944408646,0.20384494433103084,0.20355297944408646,0.20384494433103084,0.20355297944408646,0.20384494433103084,0.20355297944408646,0.20384494433103084,0.20355310620371891,0.20384522112391212
21,0.4979985404561063,0.4445433194633496,0.4731208818121264,0.19170282183546805,0.1939433149237455,0.19170282183546805,0.1939433149237455,0.19170282183546805,0.1939433149237455,0.19170282183546805,0.1939433149237455,0.19170276562362876,0.1939436060156292
22,0.4881462360678211,0.42952965097906826,0.4580232261780604,0.18677496108920366,0.18323629582629952,0.18677496108920366,0.18323629582629952,0.18677496108920366,0.18323629582629952,0.18677496108920366,0.18323629582629952,0.18677482291505587,0.18323662804325402
23,0.5127112837629407,0.46749632251636547,0.47456050020976426,0.20573244992808548,0.1988282063295197,0.20573244992808548,0.1988282063295197,0.20573244992808548,0.1988282063295197,0.20573244992808548,0.1988282063295197,0.20573248173513314,0.1988287823976611
24,0.5018009293594545,0.44101728763831166,0.45982796427978634,0.19665020926148802,0.18993400362120683,0.19665020926148802,0.18993400362120683,0.19665020926148802,0.18993400362120683,0.19665020926148802,0.18993400362120683,0.19665022206651162,0.18993452176003855
25,0.49224552842830926,0.44949904015675013,0.4738904883315544,0.18934914659783186,0.19471910847078144,0.18934914659783186,0.19471910847078144,0.18934914659783186,0.19471910847078144,0.18934914659783186,0.19471910847078144,0.18934921354059098,0.1947196737935697
26,0.4992800279356217,0.45870458155864485,0.48851733103488254,0.20029686498849275,0.20044801039544935,0.20029686498849275,0.20044801039544935,0.20029686498849275,0.20044801039544935,0.20029686498849275,0.20044801039544935,0.20029686970035732,0.2004484375857093
27,0.5220263532529866,0.45613283786641945,0.4849499605376643,0.20582799167500443,0.20137991199411864,0.20582799167500443,0.20137991199411864,0.20582799167500443,0.20137991199411864,0.20582799167500443,0.20137991199411864,0.2058280049522544,0.20138041467422063
28,0.5124560083585198,0.45936781596648224,0.47976370696982656,0.20605339874979778,0.2000462848213178,0.20605339874979778,0.2000462848213178,0.20605339874979778,0.2000462848213178,0.20605339874979778,0.2000462848213178,0.20605355879138032,0.2000468174069342
29,0.5022978538823972,0.4568733087050395,0.47448392225064523,0.19528010513234684,0.1904104763318294,0.19528010513234684,0.1904104763318294,0.19528010513234684,0.1904104763318294,0.19528010513234684,0.1904104763318294,0.19528010380747785,0.19041077285079966
30,0.5026375166214125,0.45007032199481933,0.4801500347070103,0.19836639528887545,0.1922647526682023,0.19836639528887545,0.1922647526682023,0.19836639528887545,0.1922647526682023,0.19836639528887545,0.1922647526682023,0.19836641816038647,0.19226498853106833
31,0.5002330884006734,0.43625184423387814,0.4670463794244475,0.1839307376209497,0.18175300899648672,0.1839307376209497,0.18175300899648672,0.1839308918970498,0.1817525072326852,0.1839340266169932,0.18175017360670742,0.18415389795540238,0.1818740836163103
